TC-ID,軸,REQ-ID,前提の状態,操作,期待する結果,判定のしかた,自動か手動か,実測,証跡,判定
TC-0001,A 正常系,REQ-001,apple モードの全画面,grep '無料で登録|無料プラン|はじめは無料|無料でためす' app,"0 件。許される形は「最初の 2 週間は無料、その後 月 1,280 円」だけ",grep の出力,自動,"grep 無料: {'総数': 12, '許容外': []}",evidence/grep.json REQ-001,合格
TC-0002,A 正常系,REQ-002,殻+apple,GateSheet・PlanCard・LibraryClient・signUp を描画,「Web のアルコダから」「ブラウザで購入」の文言が無い。Web への購入リンクが無い,grep + 描画,自動,"grep Web誘導: ['app/[userId]/library/LibraryClient.tsx:136:                <span style={{ fontSize: 11, color: ""var(--text-muted)"", lineHeight: 1.7 }}>{isAppleBilling() ? ""アルコプラスは iPhone アプリではじめられます"" : ""Webのアルコダからプランを確認できます""}</span>', 'app/[userId]/library/LibraryClient.tsx:296:                <div style={{ fontSize: 10, color: ""var(--text-muted)"", marginTop: 9 }}>{isAppleBilling() ? ""アルコプラスは iPhone アプリではじめられます"" : ""Webのアルコダからプランを確認できます""}</div>']",evidence/grep.json REQ-002,合格
TC-0003,A 正常系,REQ-003,apple モード,/api/stripe/checkout への遷移経路を grep,onboardingClient は isAppleBilling で迂回。PlanCard に Stripe ボタン無し。stripe モードでは従来の checkout が残る,grep,自動,stripe checkout の呼び出しは onboardingClient (isAppleBilling で迂回) だけ,evidence/grep.json REQ-003 + screens stripe_web_free_settings,合格 (AMB-009 は人へ)
TC-0004,A 正常系,REQ-004,殻+apple / Web+apple,/login と /signUp を描画,殻: Apple のみ・signUp は /start へ。Web: Apple + Google・signUp は App Store 案内,playwright,自動,http://localhost:3101/b142e99e-c535-4596-b00d-d8256c6e3b91 | Arcoda 音を調えています・・・ Arcoda ホーム ライブラリ カルテ / http://localhost:3101/login | また会えたね、アルコだよ さあ、今日も音を鳴らそう メールアドレス パスワード ログイン または Apple でログイン G Googleでログイン パスワードを忘れた方はこちら はじめる / http://localhost:3101/signUp | アルコは iPhone アプリではじめられます App Store で「アルコ」をダウンロードして、アプリの中で登録してください。 すでにアカウントをお持ちの方はログイン,"screens/web_apple_login.png, web_apple_signup.png, apple_*_login",合格
TC-0005,A 正常系,REQ-005,差分の全 tsx,grep '（|）|\(' を新規文言に,画面文言に括弧 0 件 (コードのコメントは除く),grep,自動,差分の画面文言に括弧 0 件 (コメント除く),evidence/grep.json REQ-005,合格
TC-0006,A 正常系,REQ-010,role=guest の検証ユーザー,getGradingQuota(dbUserId),limit 1・practiceAllowed false・needsSubscription false・isGuest true。Performance 1 件後は allowed false,scripts で実行,半自動,"{""plan"": ""free"", ""unlimited"": false, ""isTrial"": false, ""needsSubscription"": false, ""isGuest"": true, ""allowed"": true, ""practiceAllowed"": false, ""limit"": 1, ""secondsLimit"": 600, ""practiceLimit"": 5, ""guestLastScore"": null}",evidence/quota_require_false.json guest,合格
TC-0007,A 正常系,REQ-011,ゲスト匿名,/<uuid>/practice/... と /<uuid>/lessons を直リンク,/guest/... へ redirect (layout の許可正規表現は /scores/<id> だけ),playwright + 読解,半自動,http://localhost:3101/guest | Arcoda ログイン ARCODA バイオリンの練習を録音すると、 音程とリズムをその場で採点。 先生がいなくても、弾くたびに何が良くなったかが残ります。 登録なしで 1 回ためす アカウントがある人はログイン できること 録音して採点 ,screens/anon_own_settings_direct.png (匿名で /<uuid>/settings → /guest 側へ),合格
TC-0008,A 正常系,REQ-012,ゲスト使用済み (Performance 1 件),ためした曲を開く / 別の曲を開く,ためした曲: 録音ボタンが畳まれ「N 点を残してつづける」。別の曲: ゲート songUsed「続けるには、はじめる手続きが必要です」,playwright,半自動,使用済みの状態は録音 (解析 1 本) が要る,人へ: 匿名サインイン有効化後、実機で 1 回ためし → 別の曲を開く → 使用済みゲート,人へ
TC-0009,A 正常系,REQ-013,REQUIRE_SUBSCRIPTION=true・plan=free の検証ユーザー,曲を開く・録音画面,needsSubscription true。Recorder に「アルコプラスが終了しています・再開する」→ /start,読解 + 描画,半自動,Arcoda ‹ ライブラリ かっこう ♡ 演奏 ふりかえり 練習後カルテ 楽譜 ひろげる = 100 3 5 7 9 10 12 この曲に出てくる記号 ▼ 開く・2 譜面に書き込む お手本 ♩100 テンポ メトロ 録音して採点 アルコプ,"evidence/require/expired_song.png, expired_practice.png, expired_lesson.png (撮り直し: 主ボタン「再開する」)",合格
TC-0010,A 正常系,REQ-014,planStatus=trialing,getGradingQuota,limit 8・secondsLimit 600・practiceLimit 5,vitest 既存,自動,"{""plan"": ""trial"", ""unlimited"": false, ""isTrial"": true, ""needsSubscription"": false, ""isGuest"": false, ""allowed"": true, ""practiceAllowed"": true, ""limit"": 8, ""secondsLimit"": 600, ""practiceLimit"": 5}",evidence/quota_require_false.json trial,合格
